,symbol,strikePrice,expiryDate,bid_qty,bid_price,ask_qty,ask_price,ltp,S-K,calendar_days_to_maturity,mkt_price
302,NIFTY,22550,2025-04-24,75,571.95,75,574.35,22571.65,21.650000000001455,48,573.1500000000001
301,NIFTY,22550,2025-04-09,1800,451.45,75,493.9,22571.65,21.650000000001455,33,472.67499999999995
308,NIFTY,22600,2025-04-09,900,411.6,75,451.1,22571.65,28.349999999998545,33,431.35
309,NIFTY,22600,2025-04-24,75,541.75,150,543.75,22571.65,28.349999999998545,48,542.75
294,NIFTY,22500,2025-04-09,75,483.25,75,504.95,22571.65,71.65000000000146,33,494.1
295,NIFTY,22500,2025-04-24,300,605.25,150,607.2,22571.65,71.65000000000146,48,606.225
316,NIFTY,22650,2025-04-24,225,510.6,75,512.65,22571.65,78.34999999999854,48,511.625
315,NIFTY,22650,2025-04-09,1800,393.55,150,429.95,22571.65,78.34999999999854,33,411.75
287,NIFTY,22450,2025-04-09,900,511.55,1350,559.65,22571.65,121.65000000000146,33,535.6
288,NIFTY,22450,2025-04-24,75,633.55,75,646.35,22571.65,121.65000000000146,48,639.95
323,NIFTY,22700,2025-04-24,150,481.4,225,483.5,22571.65,128.34999999999854,48,482.45
322,NIFTY,22700,2025-04-09,900,355.55,75,400.15,22571.65,128.34999999999854,33,377.85
281,NIFTY,22400,2025-04-24,75,671.3,75,674.15,22571.65,171.65000000000146,48,672.7249999999999
280,NIFTY,22400,2025-04-09,900,534.2,75,582.65,22571.65,171.65000000000146,33,558.425
330,NIFTY,22750,2025-04-24,75,450.65,150,458.8,22571.65,178.34999999999854,48,454.725
329,NIFTY,22750,2025-04-09,1800,338.8,75,369.0,22571.65,178.34999999999854,33,353.9
274,NIFTY,22350,2025-04-24,75,703.9,75,707.3,22571.65,221.65000000000146,48,705.5999999999999
273,NIFTY,22350,2025-04-09,1800,577.3,1800,627.15,22571.65,221.65000000000146,33,602.2249999999999
337,NIFTY,22800,2025-04-24,150,426.25,75,428.1,22571.65,228.34999999999854,48,427.175
336,NIFTY,22800,2025-04-09,900,288.1,75,343.05,22571.65,228.34999999999854,33,315.57500000000005
267,NIFTY,22300,2025-04-24,150,741.5,75,744.75,22571.65,271.65000000000146,48,743.125
266,NIFTY,22300,2025-04-09,900,592.05,75,653.2,22571.65,271.65000000000146,33,622.625
344,NIFTY,22850,2025-04-24,525,400.05,525,402.45,22571.65,278.34999999999854,48,401.25
343,NIFTY,22850,2025-04-09,900,282.9,900,317.1,22571.65,278.34999999999854,33,300.0
260,NIFTY,22250,2025-04-24,75,776.3,75,780.75,22571.65,321.65000000000146,48,778.525
259,NIFTY,22250,2025-04-09,0,0.0,825,700.05,22571.65,321.65000000000146,33,350.025
350,NIFTY,22900,2025-04-09,900,237.9,1800,291.85,22571.65,328.34999999999854,33,264.875
