,symbol,strikePrice,expiryDate,bid_qty,bid_price,ask_qty,ask_price,ltp,K-S,calendar_days_to_maturity,mkt_price
388,NIFTY,22550,2025-04-09,1800,250.05,1800,295.35,22571.65,21.650000000001455,33,272.70000000000005
389,NIFTY,22550,2025-04-24,75,319.85,225,321.65,22571.65,21.650000000001455,48,320.75
395,NIFTY,22600,2025-04-09,0,0.0,900,314.85,22571.65,28.349999999998545,33,157.425
396,NIFTY,22600,2025-04-24,75,338.15,150,339.5,22571.65,28.349999999998545,48,338.825
382,NIFTY,22500,2025-04-24,75,301.75,300,302.4,22571.65,71.65000000000146,48,302.075
381,NIFTY,22500,2025-04-09,75,233.3,75,261.15,22571.65,71.65000000000146,33,247.225
403,NIFTY,22650,2025-04-24,525,357.95,75,359.8,22571.65,78.34999999999854,48,358.875
402,NIFTY,22650,2025-04-09,0,0.0,900,336.8,22571.65,78.34999999999854,33,168.4
374,NIFTY,22450,2025-04-09,1650,216.1,1800,259.15,22571.65,121.65000000000146,33,237.625
375,NIFTY,22450,2025-04-24,525,285.7,75,287.8,22571.65,121.65000000000146,48,286.75
410,NIFTY,22700,2025-04-24,450,379.6,150,381.05,22571.65,128.34999999999854,48,380.32500000000005
409,NIFTY,22700,2025-04-09,900,306.95,1800,358.05,22571.65,128.34999999999854,33,332.5
368,NIFTY,22400,2025-04-24,225,270.05,300,271.35,22571.65,171.65000000000146,48,270.70000000000005
367,NIFTY,22400,2025-04-09,300,201.9,75,237.75,22571.65,171.65000000000146,33,219.825
416,NIFTY,22750,2025-04-09,75,196.0,0,0.0,22571.65,178.34999999999854,33,98.0
417,NIFTY,22750,2025-04-24,150,391.4,75,401.35,22571.65,178.34999999999854,48,396.375
360,NIFTY,22350,2025-04-09,0,0.0,1800,225.3,22571.65,221.65000000000146,33,112.65
361,NIFTY,22350,2025-04-24,225,255.55,75,257.05,22571.65,221.65000000000146,48,256.3
423,NIFTY,22800,2025-04-24,300,421.8,525,423.6,22571.65,228.34999999999854,48,422.70000000000005
354,NIFTY,22300,2025-04-24,75,241.65,75,242.85,22571.65,271.65000000000146,48,242.25
353,NIFTY,22300,2025-04-09,75,175.55,150,198.9,22571.65,271.65000000000146,33,187.22500000000002
429,NIFTY,22850,2025-04-24,525,445.35,75,447.55,22571.65,278.34999999999854,48,446.45000000000005
347,NIFTY,22250,2025-04-24,525,227.65,75,229.05,22571.65,321.65000000000146,48,228.35000000000002
346,NIFTY,22250,2025-04-09,900,158.65,1800,196.25,22571.65,321.65000000000146,33,177.45
435,NIFTY,22900,2025-04-24,375,468.5,75,470.95,22571.65,328.34999999999854,48,469.725
340,NIFTY,22200,2025-04-24,150,213.9,225,214.8,22571.65,371.65000000000146,48,214.35000000000002
339,NIFTY,22200,2025-04-09,75,146.95,75,181.85,22571.65,371.65000000000146,33,164.39999999999998
441,NIFTY,22950,2025-04-24,300,495.1,300,497.15,22571.65,378.34999999999854,48,496.125
332,NIFTY,22150,2025-04-09,900,134.9,0,0.0,22571.65,421.65000000000146,33,67.45
333,NIFTY,22150,2025-04-24,525,202.55,75,203.75,22571.65,421.65000000000146,48,203.15
447,NIFTY,23000,2025-04-24,150,522.4,300,523.95,22571.65,428.34999999999854,48,523.175
325,NIFTY,22100,2025-04-09,75,125.1,75,158.65,22571.65,471.65000000000146,33,141.875
326,NIFTY,22100,2025-04-24,525,191.1,150,192.15,22571.65,471.65000000000146,48,191.625
464,NIFTY,23050,2025-04-24,75,548.75,75,551.4,22571.65,478.34999999999854,48,550.075
319,NIFTY,22050,2025-04-24,525,180.15,525,181.35,22571.65,521.6500000000015,48,180.75
318,NIFTY,22050,2025-04-09,900,115.3,1800,149.1,22571.65,521.6500000000015,33,132.2
470,NIFTY,23100,2025-04-24,75,577.1,150,579.4,22571.65,528.3499999999985,48,578.25
301,NIFTY,22000,2025-04-24,300,171.95,75,172.45,22571.65,571.6500000000015,48,172.2
300,NIFTY,22000,2025-04-09,300,108.35,150,134.9,22571.65,571.6500000000015,33,121.625
476,NIFTY,23150,2025-04-24,75,606.1,75,608.2,22571.65,578.3499999999985,48,607.1500000000001
294,NIFTY,21950,2025-04-24,150,157.2,1200,163.85,22571.65,621.6500000000015,48,160.52499999999998
293,NIFTY,21950,2025-04-09,900,54.65,1800,129.2,22571.65,621.6500000000015,33,91.925
482,NIFTY,23200,2025-04-24,150,636.05,75,638.45,22571.65,628.3499999999985,48,637.25
286,NIFTY,21900,2025-04-09,900,73.45,75,120.5,22571.65,671.6500000000015,33,96.975
287,NIFTY,21900,2025-04-24,75,149.85,450,150.7,22571.65,671.6500000000015,48,150.27499999999998
488,NIFTY,23250,2025-04-24,75,667.55,75,670.65,22571.65,678.3499999999985,48,669.0999999999999
279,NIFTY,21850,2025-04-09,900,45.2,1800,113.25,22571.65,721.6500000000015,33,79.225
280,NIFTY,21850,2025-04-24,150,138.8,1425,145.95,22571.65,721.6500000000015,48,142.375
494,NIFTY,23300,2025-04-24,75,698.15,75,701.65,22571.65,728.3499999999985,48,699.9
272,NIFTY,21800,2025-04-09,75,55.35,75,104.35,22571.65,771.6500000000015,33,79.85
273,NIFTY,21800,2025-04-24,150,133.2,525,133.8,22571.65,771.6500000000015,48,133.5
500,NIFTY,23350,2025-04-24,300,718.1,300,742.05,22571.65,778.3499999999985,48,730.075
265,NIFTY,21750,2025-04-09,900,34.7,1800,98.8,22571.65,821.6500000000015,33,66.75
266,NIFTY,21750,2025-04-24,225,125.55,225,126.45,22571.65,821.6500000000015,48,126.0
506,NIFTY,23400,2025-04-24,375,765.0,75,770.95,22571.65,828.3499999999985,48,767.975
259,NIFTY,21700,2025-04-24,225,117.75,1050,118.35,22571.65,871.6500000000015,48,118.05
258,NIFTY,21700,2025-04-09,900,50.0,900,92.15,22571.65,871.6500000000015,33,71.075
512,NIFTY,23450,2025-04-24,75,782.7,75,821.8,22571.65,878.3499999999985,48,802.25
251,NIFTY,21650,2025-04-09,900,27.65,0,0.0,22571.65,921.6500000000015,33,13.825
252,NIFTY,21650,2025-04-24,75,108.9,150,114.5,22571.65,921.6500000000015,48,111.7
519,NIFTY,23500,2025-04-24,675,837.0,75,839.95,22571.65,928.3499999999985,48,838.475
518,NIFTY,23500,2025-04-09,0,0.0,0,0.0,22571.65,928.3499999999985,33,0.0
245,NIFTY,21600,2025-04-24,225,104.65,150,105.25,22571.65,971.6500000000015,48,104.95
244,NIFTY,21600,2025-04-09,900,31.65,75,81.6,22571.65,971.6500000000015,33,56.625
525,NIFTY,23550,2025-04-24,150,864.15,150,889.25,22571.65,978.3499999999985,48,876.7
238,NIFTY,21550,2025-04-24,525,98.9,525,99.75,22571.65,1021.6500000000015,48,99.325
237,NIFTY,21550,2025-04-09,900,23.05,900,78.0,22571.65,1021.6500000000015,33,50.525
531,NIFTY,23600,2025-04-24,150,906.15,75,909.9,22571.65,1028.3499999999985,48,908.025
231,NIFTY,21500,2025-04-24,75,95.05,825,95.4,22571.65,1071.6500000000015,48,95.225
230,NIFTY,21500,2025-04-09,75,50.8,75,68.9,22571.65,1071.6500000000015,33,59.85
